id.orig_h,count
1.117.115.149,2
1.157.51.240,1
1.202.114.96,1
1.22.221.82,1
1.22.244.89,1
1.23.101.121,2
1.23.129.36,1
1.234.41.218,28
1.27.235.33,1
1.36.164.212,1
1.81.207.87,1
1.83.125.113,1
1.83.125.122,8
100.20.101.27,2
100.24.14.241,10
101.0.33.91,1
101.0.45.110,1
101.128.72.42,1
101.128.74.244,1
101.255.144.67,1
101.255.76.26,1
101.31.143.74,1
101.35.48.108,1
101.36.106.84,1
101.36.111.135,1
101.36.116.253,11
101.36.116.38,2
101.36.118.5,1
101.36.121.208,1
101.36.122.154,1
101.36.122.161,1
101.36.97.125,25
101.71.209.102,1
101.80.202.148,1
102.130.245.181,1
102.134.188.85,1
102.141.35.151,1
102.212.200.139,1
102.215.117.84,1
102.219.122.13,1
102.68.39.252,1
102.68.79.229,1
103.101.201.146,3
103.103.3.245,1
103.108.61.212,1
103.109.80.48,1
103.111.114.4,1
103.115.125.119,1
103.115.125.162,1
103.116.52.251,1
103.116.53.106,5
103.116.53.117,1
103.122.163.228,3
103.123.1.112,1
103.123.1.153,1
103.123.70.83,1
103.14.224.90,2
103.14.225.161,4
103.141.136.18,3
103.144.49.198,1
103.145.184.19,1
103.147.67.234,1
103.149.192.10,1
103.149.192.102,3
103.149.192.107,1
103.149.192.116,3
103.149.192.120,2
103.149.192.122,1
103.149.192.130,2
103.149.192.133,2
103.149.192.134,3
103.149.192.14,2
103.149.192.150,1
103.149.192.153,1
103.149.192.178,1
103.149.192.182,1
103.149.192.185,1
103.149.192.186,3
103.149.192.193,1
103.149.192.196,1
103.149.192.205,1
103.149.192.210,1
103.149.192.213,1
103.149.192.224,1
103.149.192.228,1
103.149.192.236,1
103.149.192.30,1
103.149.192.35,1
103.149.192.45,2
103.149.192.46,1
103.149.192.5,1
103.149.192.80,1
103.149.192.84,1
103.149.192.96,2
103.149.27.194,2
103.149.61.37,1
103.15.62.113,1
103.151.240.81,2
103.154.2.254,1
103.155.140.46,1
103.156.86.18,1
103.159.198.173,1
103.162.59.218,1
103.167.205.187,1
103.167.92.218,2
103.168.233.152,1
103.169.174.204,1
103.169.34.47,2
103.171.189.36,1
103.171.189.44,1
103.172.47.22,1
103.176.168.115,4
103.178.228.27,14
103.178.228.36,12
103.178.229.198,2
103.178.229.208,2
103.178.229.220,1
103.178.235.32,8
103.179.0.146,1
103.179.248.246,1
103.187.191.132,8
103.190.107.71,5
103.190.121.73,4
103.200.20.70,7
103.208.207.134,1
103.211.12.91,1
103.212.90.16,1
103.218.241.103,3
103.218.242.63,1
103.218.243.165,1
103.220.30.6,1
103.221.254.140,1
103.224.218.94,2
103.228.112.122,1
103.228.74.173,8
103.233.68.209,4
103.239.245.241,5
103.241.65.32,1
103.248.119.140,1
103.250.38.194,1
103.252.119.153,2
103.253.181.74,1
103.254.56.202,1
103.254.57.135,1
103.28.35.33,2
103.38.182.138,1
103.38.182.161,1
103.38.182.165,1
103.39.8.107,1
103.40.196.60,1
103.40.196.88,1
103.41.27.189,1
103.43.19.38,1
103.45.246.241,3
103.50.5.214,1
103.53.19.253,1
103.56.61.132,13
103.56.61.144,4
103.58.249.61,1
103.61.254.90,1
103.68.85.84,23
103.69.217.102,1
103.69.217.198,1
103.7.247.211,1
103.71.47.46,1
103.73.225.183,1
103.77.172.108,3
103.77.172.30,60
103.79.167.181,1
103.79.35.17,1
103.84.37.68,1
103.87.26.58,1
103.88.232.80,4
103.88.233.67,4
103.88.233.69,3
103.88.233.92,4
103.89.59.141,2
103.90.207.50,1
103.91.19.101,2
103.93.177.18,2
103.93.177.30,1
103.93.179.3,1
103.96.104.79,1
104.131.128.14,3
104.131.144.22,3
104.131.144.29,3
104.131.144.30,12
104.131.144.39,3
104.131.144.7,16
104.140.148.102,3
104.167.222.2,210
104.168.96.242,10
104.199.31.214,2
104.203.241.124,1
104.218.165.102,25
104.236.128.46,3
104.243.37.41,3
104.248.129.104,3
104.248.130.34,3
104.248.143.84,2
104.248.152.18,2
104.248.162.165,2
104.248.165.145,1
104.248.172.61,1
104.248.204.195,1
104.248.229.49,9
104.248.64.91,1
104.47.2.254,4
105.107.16.222,1
105.174.40.214,1
105.226.13.22,1
106.137.124.117,2
106.178.142.86,1
106.178.151.58,1
106.4.159.185,2
106.55.107.106,1
106.57.165.190,1
106.75.133.48,2
106.75.14.86,8
106.75.145.229,4
106.75.147.114,2
106.75.156.249,2
106.75.164.14,4
106.75.164.148,4
106.75.2.88,1
106.75.24.22,1
106.75.26.84,1
106.75.27.228,1
106.75.28.71,1
106.75.3.7,1
106.75.33.202,3
106.75.34.182,1
106.75.34.68,1
106.75.47.14,3
106.75.49.149,1
106.75.60.240,1
106.75.61.219,1
106.75.62.169,1
106.75.63.60,1
106.75.65.228,1
106.75.67.240,1
106.75.70.232,2
106.75.70.50,3
106.75.71.157,1
106.75.71.52,1
106.75.71.64,2
106.75.72.126,2
106.75.72.2,1
106.75.73.178,1
106.75.74.118,1
106.75.77.196,1
106.75.78.150,1
106.75.86.142,2
106.75.9.36,1
106.75.92.33,1
107.135.209.88,2
107.150.103.146,25
107.150.105.209,16
107.150.127.188,12
107.155.56.171,6
107.170.208.31,3
107.170.208.5,3
107.170.226.22,3
107.170.226.30,1
107.170.226.6,3
107.170.227.16,3
107.170.227.23,3
107.170.227.28,1
107.170.227.34,4
107.170.227.4,4
107.170.228.17,12
107.170.228.33,1
107.170.228.37,1
107.170.229.49,4
107.170.229.62,4
107.170.230.14,1
107.170.230.26,3
107.170.230.27,4
107.170.231.30,3
107.170.232.47,12
107.170.232.6,3
107.170.233.10,4
107.170.233.20,3
107.170.233.21,3
107.170.234.14,3
107.170.234.19,1
107.170.234.29,4
107.170.234.39,4
107.170.235.12,1
107.170.236.15,4
107.170.237.12,3
107.170.237.34,3
107.170.238.25,12
107.170.238.41,12
107.170.238.43,3
107.170.238.48,12
107.170.239.30,4
107.170.239.39,3
107.170.239.48,4
107.170.240.15,4
107.170.240.35,4
107.170.240.44,12
107.170.241.17,3
107.170.241.52,1
107.170.241.6,4
107.170.241.8,1
107.170.242.5,1
107.170.242.6,3
107.170.243.10,1
107.170.243.25,3
107.170.244.10,1
